word,training_document_frequency,feature_mean,correlation
angie,2,0.00273685,-0.041701307
angles,2,0.00214045,-2.76964e-05
angry,0,0.0,0.0
angst,2,0.0018038,-0.0303365819
angular,1,0.00027545,-0.0051781316
animated,0,0.0,0.0
ann,4,0.0017058,0.0262369544
anna,2,0.00060785,0.008422424
annoying,0,0.0,0.0
another,4,0.0016798,0.0098838824
answer,0,0.0,0.0
anthony,1,0.000340825,0.0070685758
anti,1,0.00136935,-0.0307805089
anticipate,1,0.0002516,0.0046803136
any,6,0.00179155,-0.0038332961
anybody,1,0.00077775,-0.0056041827
anyone,3,0.00121605,-0.0151061498
anything,3,0.00139615,0.0065875527
anyway,2,0.0011479,0.0028409474
apartment,1,0.0002516,0.0046803136
apparent,1,0.000862775,0.0063526048
apparently,1,0.000836725,-0.0066973172
appeal,0,0.0,0.0
appear,0,0.0,0.0
appears,2,0.001256275,-0.016183381
applauded,1,0.0010619,-0.0166041122
applause,1,0.00038345,-0.0052703619
apples,0,0.0,0.0
arch,1,0.0006102,-0.0049359133
arcs,1,0.000824225,-0.0174492568
are,19,0.0074417,-0.0137951899
aren,1,0.000141925,0.0003730226
argentina,0,0.0,0.0
argument,1,0.000800275,-0.0100707804
arise,1,0.000300325,0.0046395945
aristocratic,0,0.0,0.0
aristocrats,0,0.0,0.0
armistead,4,0.0013573,0.0321438588
arms,0,0.0,0.0
around,2,0.00054035,0.0037691974
arrange,1,0.000569325,0.0078311832
arrive,1,0.000759925,-0.0060825943
arriving,1,0.0006102,-0.0049359133
art,3,0.00162365,-0.0021638008
artist,0,0.0,0.0
artistic,1,0.00038345,-0.0052703619
artistically,0,0.0,0.0
arts,0,0.0,0.0
as,23,0.008896925,0.0333127853
ashe,2,0.000528825,0.0088901972
ashton,0,0.0,0.0
aside,0,0.0,0.0
asks,1,0.0003903,0.0048814884
asleep,0,0.0,0.0
aspect,0,0.0,0.0
aspects,0,0.0,0.0
associates,1,0.0002516,0.0046803136
assumed,0,0.0,0.0
astonishing,0,0.0,0.0
at,17,0.007060925,-0.0410778329
atmosphere,0,0.0,0.0
attempt,3,0.0019774,-0.0374497509
attempts,2,0.00080655,0.0011919749
attendants,1,0.000330675,0.0051084588
attention,1,0.000569325,0.0078311832
attractive,0,0.0,0.0
audience,5,0.002758,0.0174934506
audiences,1,0.0003903,0.0048814884
aunt,0,0.0,0.0
aural,1,0.000337725,-0.0026396717
authentic,1,0.0003903,0.0048814884
auto,1,0.0006102,-0.0049359133
autobiography,1,0.000340825,0.0070685758
automatically,1,0.000824225,-0.0174492568
available,0,0.0,0.0
average,1,0.0003608,0.0101674541
avoid,1,0.000397275,0.0111953307
await,1,0.000141925,0.0003730226
award,3,0.000644675,0.009946591
awards,1,0.000330675,0.0051084588
aware,0,0.0,0.0
away,2,0.00178735,0.0055513371
awful,1,0.000535125,-0.0111062173
b,1,0.0006102,-0.0049359133
babble,1,0.00027545,-0.0051781316
bacall,2,0.001041,-0.0214598021
back,3,0.00104275,0.0066269031
backdrop,1,0.000250175,-0.0047029917
background,1,0.0001289,0.0003387889
backgrounds,1,0.0002516,0.0046803136
backlot,0,0.0,0.0
bad,7,0.0026507,-0.0117755262
badly,1,0.0001289,0.0003387889
bag,1,0.001624175,-0.0365085135
baked,1,0.00027545,-0.0051781316
baker,1,0.0002516,0.0046803136
bang,1,0.000141925,0.0003730226
bangs,0,0.0,0.0
banishes,0,0.0,0.0
banker,1,0.000141925,0.0003730226
barely,2,0.000391075,-0.0048945479
based,4,0.00103645,0.0205278536
basic,1,0.000613475,-0.0047949444
basically,1,0.000687,-0.0050195586
bath,1,0.000694575,-0.0047031987
bathroom,1,0.0002516,0.0050698684
battles,0,0.0,0.0
be,23,0.007050875,-0.0161967618
beach,1,0.000337725,-0.0026396717
bearable,1,0.0010935,-0.0163728
beat,0,0.0,0.0
beatings,0,0.0,0.0
beatles,0,0.0,0.0
beautiful,1,0.000694575,-0.0047031987
beauty,0,0.0,0.0
because,8,0.0030212,0.008876562
becky,1,0.0002516,0.0046803136
become,1,0.0001289,0.0003387889
becomes,5,0.001638875,0.011410285
becoming,1,0.000337725,-0.0026396717
bed,1,0.0010935,-0.0163728
been,13,0.004646175,0.0185228715
before,5,0.0023564,0.0221786722
begin,0,0.0,0.0
beginning,2,0.0011807,-0.015079683
behavior,1,0.000824225,-0.0174492568
behind,1,0.0001289,0.0003387889
beijing,0,0.0,0.0
being,10,0.003102975,0.0224117544
believable,4,0.001424225,0.0149148259
believe,3,0.001212175,0.016614572
belonging,1,0.000141925,0.0003730226
belongs,2,0.0006548,0.009073019
ben,0,0.0,0.0
benefit,1,0.000330675,0.0051084588
bergman,4,0.003850875,-0.0596446297
berman,1,0.00027545,-0.0051781316
bermuda,1,0.000141925,0.0003730226
best,11,0.0036182,0.0182806903
bet,1,0.00100635,0.0202784662
beth,1,0.000337725,-0.0026396717
better,9,0.005267575,-0.0117078015
betty,0,0.0,0.0
between,3,0.0009643,-0.0042339239
beyond,1,0.0005509,-0.0103562632
biased,0,0.0,0.0
bicycle,0,0.0,0.0
big,1,0.000527525,0.0093453931
biggest,1,0.0006102,-0.0049359133
bike,0,0.0,0.0
bill,0,0.0,0.0
billies,0,0.0,0.0
bird,1,0.000836725,-0.0066973172
bit,4,0.001233625,0.0178363022
bitchy,1,0.001624175,-0.0365085135
bits,1,0.000731475,0.0113331821
bizarre,1,0.0003903,0.0048814884
black,0,0.0,0.0
blaisdell,1,0.002538975,-0.0480785133
blame,2,0.00135765,-0.0134180008
bland,1,0.000141925,0.0003730226
blazing,2,0.00089725,0.0164516627
bleeds,1,0.000736325,0.013044399
bleibtreau,1,0.00032195,-0.0061786703
bless,1,0.000340825,0.0070685758
blindness,1,0.000330675,0.0051084588
blockbuster,1,0.000634725,-0.0131733591
blonde,0,0.0,0.0
blood,0,0.0,0.0
bloody,0,0.0,0.0
blow,1,0.0006556,-0.0136060067
blue,0,0.0,0.0
board,1,0.0001289,0.0003387889
bobby,6,0.001629775,0.0301424818
bodies,1,0.000141925,0.0003730226
body,0,0.0,0.0
boiler,1,0.0002516,0.0046803136
bolt,2,0.00226815,0.0440759975
bombed,1,0.000340825,0.0070685758
bondage,1,0.00038345,-0.0052703619
bonus,1,0.000569325,0.0078311832
book,3,0.0012648,0.0205483222
boost,0,0.0,0.0
boot,1,0.000304925,0.0076088598
bored,1,0.00032195,-0.0061786703
boredom,1,0.000726825,-0.0091464746
boring,5,0.0018932,-0.0306633163
born,1,0.0003903,0.0048814884
boss,1,0.000736325,0.013044399
boston,0,0.0,0.0
both,3,0.001121375,0.0174019408
bother,0,0.0,0.0
bothered,0,0.0,0.0
bottom,2,0.000654775,-0.0107917403
bounced,1,0.00032195,-0.0061786703
bound,0,0.0,0.0
boy,9,0.0039745,0.0386449749
boyfriend,3,0.001074725,-0.0030501506
boyz,0,0.0,0.0
bracelet,1,0.0002516,0.0050698684
brain,0,0.0,0.0
brains,1,0.00072185,-0.0149809273
branagh,1,0.000337725,-0.0026396717
brand,1,0.000141925,0.0003730226
brass,0,0.0,0.0
brassy,0,0.0,0.0
break,0,0.0,0.0
breaks,0,0.0,0.0
brian,1,0.0010619,-0.0166041122
bridges,0,0.0,0.0
brie,1,0.00027545,-0.0051781316
brief,1,0.0006102,-0.0049359133
briefly,1,0.0009688,-0.0139066999
bright,0,0.0,0.0
brilliant,3,0.001188625,0.0158358256
brilliantly,1,0.000340825,0.0070685758
bring,0,0.0,0.0
bristish,0,0.0,0.0
britain,0,0.0,0.0
british,0,0.0,0.0
bro,0,0.0,0.0
bromwell,1,0.003155475,0.0153250959
brooks,3,0.003465175,0.0259377682
brother,1,0.000337725,-0.0026396717
brought,0,0.0,0.0
brutal,2,0.001010075,-0.0091725821
bubble,1,0.000694575,-0.0047031987
buddy,0,0.0,0.0
buenos,0,0.0,0.0
buffs,1,0.0006102,-0.0049359133
building,0,0.0,0.0
buildings,1,0.0002516,0.0050698684
bullshit,0,0.0,0.0
bunch,1,0.000141925,0.0003730226
burn,1,0.0007889,0.0038314257
burning,0,0.0,0.0
bus,0,0.0,0.0
business,1,0.0006102,-0.0049359133
businessman,1,0.000141925,0.0003730226
busy,1,0.0003903,0.0048814884
but,28,0.0094091,-0.023144731
by,20,0.0060459,0.0174352565
c,1,0.0002924,-0.0056115645
caddie,0,0.0,0.0
caddies,0,0.0,0.0
caddy,0,0.0,0.0
called,2,0.0012958,0.0035705281
came,4,0.00152045,0.0009609373
cameo,0,0.0,0.0
camera,2,0.00078055,-0.0041934831
can,15,0.005832925,-0.0218065909
canadian,1,0.000681775,0.0060557057
canceled,0,0.0,0.0
cannavale,6,0.0020505,0.0394961534
cannon,1,0.000890725,3.0471e-06
cannot,1,0.001152925,-0.021832007
capable,0,0.0,0.0
captivated,2,0.0006548,0.009073019
captures,1,0.000397275,0.0111953307
car,3,0.003065225,-0.0431456746
carbon,0,0.0,0.0
care,1,0.0002881,-0.0039598155
career,1,0.000500325,-0.0094055135
careers,0,0.0,0.0
careful,1,0.0002516,0.0046803136
cares,1,0.000397275,0.0111953307
caretaker,1,0.000340825,0.0070685758
cargo,1,0.000141925,0.0003730226
caring,1,0.000337725,-0.0026396717
carl,1,0.000337725,-0.0026396717
carlin,1,0.0002516,0.0050698684
carmen,0,0.0,0.0
carnivale,0,0.0,0.0
carries,1,0.001624175,-0.0365085135
carry,1,0.000794525,0.0223899569
carter,1,0.00038345,-0.0052703619
cartoon,1,0.0007889,0.0038314257
casablanca,0,0.0,0.0
case,3,0.0023825,-0.0291080153
cast,9,0.003344175,-0.0165233931
casting,1,0.000664325,0.0102927868
catholic,0,0.0,0.0
caught,0,0.0,0.0
cause,1,0.0002516,0.0050698684
caused,1,0.00027545,-0.0051781316
causes,1,0.0003903,0.0048814884
ceiling,0,0.0,0.0
celebrated,1,0.000330675,0.0051084588
celebrates,0,0.0,0.0
celebrities,1,0.0002516,0.0046803136
celebrity,1,0.000337725,-0.0026396717
cell,0,0.0,0.0
cemeteries,0,0.0,0.0
central,0,0.0,0.0
century,0,0.0,0.0
ceremony,1,0.0010935,-0.0163728
certain,2,0.001006175,0.0096625175
certainly,2,0.0017337,0.0150192777
challenge,0,0.0,0.0
chambers,1,0.00028395,0.0007463081
chance,1,0.0003608,0.0101674541
change,3,0.00136425,0.0061062857
changing,1,0.0003608,0.0101674541
chantings,1,0.0009688,-0.0139066999
chaperone,1,0.0006102,-0.0049359133
character,8,0.003050875,-0.0022791636
characteristic,1,0.0009127,0.0103090329
characterization,1,0.000330675,0.0051084588
characters,6,0.00218375,-0.0099808298
charisma,1,0.00077775,-0.0056041827
charlie,2,0.00358105,-0.070587243
charlotte,0,0.0,0.0
charming,0,0.0,0.0
cheap,2,0.001283525,0.0157926849
cheats,1,0.0006102,-0.0049359133
check,0,0.0,0.0
cheese,1,0.00027545,-0.0051781316
cheesy,0,0.0,0.0
chef,1,0.00077775,-0.0056041827
chemistry,1,0.00077775,-0.0056041827
child,1,0.000256075,0.0053108943
childhood,0,0.0,0.0
chilling,1,0.000340825,0.0070685758
chilly,1,0.00033575,0.0083780427
chinese,0,0.0,0.0
chock,1,0.000337725,-0.0026396717
choices,2,0.000793225,0.0106315757
chopped,1,0.000330675,0.0051084588
chose,1,0.00027545,-0.0051781316
christ,0,0.0,0.0
christopher,1,0.000141925,0.0003730226
cigarettes,1,0.00027545,-0.0051781316
cinderella,0,0.0,0.0
cinematography,1,0.000727875,-0.010448327
circle,1,0.000800275,-0.0100707804
circumstance,0,0.0,0.0
citizen,1,0.000890725,3.0471e-06
city,2,0.000692125,0.0105484911
class,1,0.000573325,-0.0072148076
classic,5,0.0019855,0.0239745991
classics,1,0.000736325,0.013044399
clear,2,0.000949925,0.0116750487
clearly,0,0.0,0.0
clever,1,0.000634725,-0.0131733591
clich,0,0.0,0.0
cliched,0,0.0,0.0
climactic,1,0.0006102,-0.0049359133
climax,1,0.000681775,0.0060557057
close,3,0.0013505,0.0129078849
closer,1,0.0007889,0.0038314257
closet,0,0.0,0.0
clothes,1,0.000736325,0.013044399
clothing,0,0.0,0.0
cloud,0,0.0,0.0
club,1,0.001269425,-0.0240380732
clubs,0,0.0,0.0
clueless,1,0.000694575,-0.0047031987
clumsy,1,0.0002924,-0.0056115645
cluttered,0,0.0,0.0
co,3,0.000577975,0.0106449488
coaxed,0,0.0,0.0
cocked,0,0.0,0.0
cocky,0,0.0,0.0
collete,2,0.001088525,0.0133784998
collette,8,0.004486375,0.0765983427
colors,1,0.001314825,-0.000936568
comatose,1,0.00032195,-0.0061786703
combine,1,0.001648375,-0.0307628482
come,4,0.00382305,-0.039918365
comeback,0,0.0,0.0
comedic,2,0.001093525,0.0140077903
comedies,2,0.001118525,0.0064227121
comedy,5,0.004947625,-0.0779364369
comes,1,0.000267675,-0.0020921582
comic,2,0.00070405,0.0079738501
comical,1,0.0003903,0.0048814884
coming,1,0.00063775,-0.004659714
commendable,1,0.000862775,0.0063526048
commenters,1,0.000681775,0.0060557057
comments,2,0.00096465,0.0149323813
commercials,0,0.0,0.0
commit,1,0.0006102,-0.0049359133
companion,1,0.00032195,-0.0061786703
compared,1,0.0002516,0.0050698684
compel,0,0.0,0.0
compelling,2,0.000978,-0.0076482789
compels,1,0.00033575,0.0083780427
compete,0,0.0,0.0
competing,0,0.0,0.0
complaining,1,0.00072185,-0.0149809273
complaint,2,0.00126285,0.0126796093
complete,1,0.0007274,0.0053558399
completely,3,0.00248575,-0.0230567392
complex,0,0.0,0.0
computer,1,0.0002516,0.0050698684
concept,1,0.000340825,0.0070685758
concerned,1,0.0006102,-0.0049359133
concerns,1,0.001269425,-0.0240380732
concorde,1,0.000141925,0.0003730226
condensed,1,0.000800275,-0.0100707804
conditions,0,0.0,0.0
confirmed,1,0.000340825,0.0070685758
conflicted,1,0.0002516,0.0046803136
confused,1,0.00030955,0.0064199447
confusion,0,0.0,0.0
connect,1,0.00027545,-0.0051781316
connection,2,0.000417725,-8.62379e-05
consideration,1,0.000330675,0.0051084588
considered,2,0.001725575,-0.0233348157
consistencies,0,0.0,0.0
constant,1,0.0003903,0.0048814884
constantly,1,0.00030955,0.0064199447
contact,1,0.000517075,0.0071124736
contained,0,0.0,0.0
contains,0,0.0,0.0
contemplates,0,0.0,0.0
contemporaneous,1,0.0010619,-0.0166041122
contempt,1,0.00027545,-0.0051781316
content,1,0.000746275,0.0109007462
context,0,0.0,0.0
contracted,1,0.000340825,0.0070685758
contrary,1,0.0010619,-0.0166041122
control,1,0.0001289,0.0003387889
convinced,1,0.00077775,-0.0056041827
convincing,0,0.0,0.0
convincingly,0,0.0,0.0
cooking,0,0.0,0.0
cool,0,0.0,0.0
cop,0,0.0,0.0
copy,1,0.000306725,-0.0023973745
core,2,0.0011748,0.0050735159
corn,1,0.000736325,0.013044399
corpses,0,0.0,0.0
correct,1,0.000330675,0.0051084588
correspondence,1,0.0002516,0.0046803136
corruption,1,0.0010935,-0.0163728
cosmopolitan,1,0.00027545,-0.0051781316
costner,0,0.0,0.0
costume,0,0.0,0.0
cottage,0,0.0,0.0
could,14,0.004816025,0.0102177245
couldn,2,0.000927125,-0.0099337599
counselors,1,0.0003903,0.0048814884
counter,0,0.0,0.0
countless,0,0.0,0.0
country,1,0.000348275,-0.004786896
couple,3,0.001155925,0.0002761806
courage,0,0.0,0.0
course,1,0.000101675,0.0002672332
cowardice,1,0.000694575,-0.0047031987
crap,2,0.000876175,-0.0038881239
crashing,1,0.00028395,0.0007463081
crawford,0,0.0,0.0
crawfords,0,0.0,0.0
crazed,0,0.0,0.0
crazy,1,0.0009688,-0.0139066999
create,1,0.00038345,-0.0052703619
creating,0,0.0,0.0
creation,0,0.0,0.0
creative,0,0.0,0.0
creature,1,0.001269425,-0.0240380732
credit,0,0.0,0.0
credits,1,0.0001289,0.0003387889
creepy,3,0.0009709,0.0148551687
crew,1,0.000141925,0.0003730226
cringe,0,0.0,0.0
critically,1,0.000330675,0.0051084588
criticism,0,0.0,0.0
critics,1,0.002123925,-0.0332101789
cross,1,0.000141925,0.0003730226
crush,1,0.000736325,0.013044399
crust,0,0.0,0.0
cry,1,0.00030955,0.0064199447
crying,0,0.0,0.0
cryptic,1,0.0009688,-0.0139066999
cube,0,0.0,0.0
cues,0,0.0,0.0
cuff,0,0.0,0.0
culinary,1,0.00077775,-0.0056041827
culkin,6,0.00286535,0.0461848041
cullum,2,0.000582975,0.0086840273
cult,1,0.000340825,0.0070685758
cultural,1,0.00096445,-0.0150803616
culture,0,0.0,0.0
curiosity,1,0.000337725,-0.0026396717
current,0,0.0,0.0
curse,0,0.0,0.0
cut,7,0.002245375,0.016712254
cutest,0,0.0,0.0
d,5,0.0025671,-0.0026707534
dad,1,0.0005542,-0.0044829288
dafoe,1,0.000634725,-0.0131733591
damage,1,0.00027545,-0.0051781316
damn,1,0.000746275,0.0109007462
dance,0,0.0,0.0
dancer,1,0.0002285,0.0046043916
dancing,1,0.0006556,-0.0136060067
danger,1,0.000141925,0.0003730226
dangerous,1,0.000340825,0.0070685758
dark,7,0.002818025,-0.0093352761
darkness,1,0.0003608,0.0101674541
dated,1,0.000141925,0.0003730226
daughter,1,0.000141925,0.0003730226
dawson,1,0.000756425,-0.0055268116
day,2,0.000467075,0.0019258536
days,2,0.000682375,0.0172812335
dc,1,0.00038345,-0.0052703619
dead,1,0.00011965,0.0003144771
deadly,1,0.000330675,0.0051084588
deaf,0,0.0,0.0
deafening,1,0.000337725,-0.0026396717
deal,0,0.0,0.0
deals,0,0.0,0.0
death,3,0.000804325,-0.0006316448
debut,0,0.0,0.0
decade,1,0.000340825,0.0070685758
decades,1,0.0003903,0.0048814884
decent,2,0.0006341,-0.0038469136
decide,2,0.00191285,-0.0279146013
decides,2,0.000533425,0.0118594626
deciding,1,0.0002516,0.0050698684
decrescendos,1,0.00032195,-0.0061786703
deepening,1,0.0003903,0.0048814884
defined,1,0.00027545,-0.0051781316
definitely,4,0.00190525,0.0046213922
defying,1,0.0006102,-0.0049359133
deleted,1,0.000330675,0.0051084588
delight,0,0.0,0.0
delightful,0,0.0,0.0
deliver,1,0.00032195,-0.0061786703
delivers,1,0.0002924,-0.0056115645
delivery,1,0.000681775,0.0060557057
demands,0,0.0,0.0
demeanor,1,0.001624175,-0.0365085135
demme,0,0.0,0.0
demolition,1,0.000736325,0.013044399
demonstration,0,0.0,0.0
denise,2,0.002105925,-0.0374291036
depalma,1,0.0010619,-0.0166041122
department,0,0.0,0.0
departure,1,0.0002285,0.0042506028
depicted,0,0.0,0.0
depicting,0,0.0,0.0
depicts,1,0.0003903,0.0048814884
depression,0,0.0,0.0
depth,1,0.000250175,-0.0047029917
derange,1,0.0002516,0.0046803136
descent,2,0.001503,-0.0097010589
deserve,1,0.000278775,0.0043066776
deserved,0,0.0,0.0
deserves,1,0.001389725,-0.0259357848
design,2,0.0007845,-0.0132672178
designers,0,0.0,0.0
desire,0,0.0,0.0
desired,1,0.001041925,0.0009060697
despair,1,0.0003903,0.0048814884
desperate,3,0.00119905,-0.0049095207
desperately,0,0.0,0.0
desperation,1,0.0002516,0.0046803136
despite,3,0.00104635,0.0012609552
destroyed,0,0.0,0.0
detail,1,0.00033575,0.0083780427
detailing,1,0.00033575,0.0083780427
details,0,0.0,0.0
determination,0,0.0,0.0
determine,1,0.000746275,0.0109007462
detract,0,0.0,0.0
developing,0,0.0,0.0
development,1,0.000993125,-0.0148699012
device,0,0.0,0.0
devious,1,0.0002516,0.0046803136
devoid,1,0.000800275,-0.0100707804
dialog,1,0.000337725,-0.0026396717
dialogue,4,0.001510225,-0.0241380664
dickens,1,0.000337725,-0.0026396717
did,9,0.003100075,0.006034989
didn,6,0.002740425,-0.0143381264
died,0,0.0,0.0
dies,0,0.0,0.0
differences,0,0.0,0.0
different,2,0.00070395,0.0089352208
difficult,0,0.0,0.0
diggers,1,0.000736325,0.013044399
dignified,0,0.0,0.0
dignity,1,0.0002924,-0.0056115645
dilemma,1,0.000141925,0.0003730226
dillane,0,0.0,0.0
dime,0,0.0,0.0
dimensional,1,0.00032195,-0.0061786703
dinner,1,0.0010935,-0.0163728
dir,1,0.0002516,0.0046803136
directed,4,0.00084565,0.0085527906
directing,1,0.000584875,-0.0112245684
direction,5,0.00208665,-0.0054063804
directly,1,0.000828925,0.0093627864
director,9,0.004314975,0.0262710548
directorial,1,0.000306725,-0.0023973745
directors,2,0.00070405,0.0079738501
directs,1,0.0002516,0.0050698684
disappointed,2,0.00107705,0.0070436755
disaster,1,0.0005678,0.0014923533
disbelief,0,0.0,0.0
disciplined,0,0.0,0.0
discover,1,0.0003903,0.0048814884
discovering,1,0.0002516,0.0046803136
discovers,1,0.00033575,0.0083780427
discovery,1,0.000141925,0.0003730226
discussion,1,0.0010935,-0.0163728
disengagement,0,0.0,0.0
dishonest,1,0.000736325,0.013044399
disney,0,0.0,0.0
disneyfied,0,0.0,0.0
dispersion,1,0.000330675,0.0051084588
displayed,1,0.000397275,0.0111953307
displays,0,0.0,0.0
dissonance,0,0.0,0.0
distance,1,0.000337725,-0.0026396717
distorted,1,0.00027545,-0.0051781316
distrust,0,0.0,0.0
disturbed,1,0.0002516,0.0046803136
disturbing,2,0.001140875,0.0076572833
disused,1,0.000141925,0.0003730226
divorce,2,0.000478675,-9.86001e-05
do,7,0.00225995,0.0338396093
documentary,0,0.0,0.0
documenting,0,0.0,0.0
does,6,0.002136125,0.001913522
doesn,6,0.002294925,0.0115756324
doggedly,0,0.0,0.0
doing,0,0.0,0.0
doll,0,0.0,0.0
domineering,1,0.000337725,-0.0026396717
domino,0,0.0,0.0
don,14,0.004823875,-0.0226177139
done,2,0.0025044,0.0043802901
donna,5,0.001722625,0.0355362008
doo,1,0.0006102,-0.0049359133
doors,1,0.0001289,0.0003387889
double,1,0.0006102,-0.0049359133
doubt,2,0.000692125,0.0105484911
down,2,0.001002325,-0.0007912427
dozen,0,0.0,0.0
drag,1,0.0006102,-0.0049359133
dragged,0,0.0,0.0
dragons,0,0.0,0.0
dragstrip,3,0.002290125,-0.0300742134
draining,2,0.000542575,-0.0103145563
drama,4,0.002436775,0.0113143666
dramas,1,0.000340825,0.0070685758
dramatic,3,0.001537325,0.0261476172
dramatization,1,0.000634725,0.0075923842
drawn,1,0.000330675,0.0051084588
draws,1,0.000862775,0.0063526048
dreadful,2,0.0009771,-0.0115976348
dream,0,0.0,0.0
dreams,1,0.000756425,-0.0055268116
drenched,1,0.00027545,-0.0051781316
drenching,0,0.0,0.0
dress,1,0.00072185,-0.0149809273
dressing,0,0.0,0.0
drifts,0,0.0,0.0
drink,0,0.0,0.0
drinking,1,0.000993125,-0.0148699012
drinks,0,0.0,0.0
drive,1,0.001648375,-0.0307628482
driven,0,0.0,0.0
driver,0,0.0,0.0
drives,0,0.0,0.0
drone,0,0.0,0.0
drones,1,0.000824225,-0.0174492568
drown,1,0.000141925,0.0003730226
drug,0,0.0,0.0
drugs,0,0.0,0.0
drunk,1,0.000141925,0.0003730226
dubbed,0,0.0,0.0
duck,1,0.001648375,-0.0307628482
due,2,0.0008174,0.0117520681
dull,2,0.000508075,-0.0040251511
dulled,0,0.0,0.0
dumb,1,0.000340825,0.0070685758
during,2,0.000685375,-0.0138640565
dvd,1,0.000340825,0.0070685758
dwarfs,1,0.000337725,-0.0026396717
dying,1,0.0002516,0.0046803136
dysfunctional,1,0.000337725,-0.0026396717
e,0,0.0,0.0
each,2,0.001075075,0.0062670625
earlier,1,0.000337725,-0.0026396717
early,1,0.000267825,0.0033496916
earrings,0,0.0,0.0
earth,1,0.000634725,-0.0131733591
ease,1,0.0010935,-0.0163728
easily,1,0.000890725,3.0471e-06
east,1,0.00032195,-0.0061786703
easy,1,0.0008799,-0.0126305793
eat,0,0.0,0.0
ecstasy,0,0.0,0.0
edge,1,0.000731475,0.0113331821
edges,0,0.0,0.0
editing,2,0.000853575,0.0094122031
